_id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma
825;to run (away);(weg)rennen;aktiv;4/C5;I;irr;;;[('to', 'TO'), ('run', 'VB'), ('(', '('), ('away', 'RB'), (')', ')')];['to', 'run', '(', 'away', ')']
826;was, were;"Vergangenheitsformen von ""be""";passiv;4/C8;I;irr;;;[('was', 'VBD'), (',', ','), ('were', 'VBD')];['wa', ',', 'were']
827;to follow;folgen;aktiv;4/C8;I;v;;;[('to', 'TO'), ('follow', 'VB')];['to', 'follow']
828;upstairs;(nach) oben;passiv;4/C8;I;av;;;[('upstairs', 'NNS')];['upstairs']
829;gallery;Galerie;passiv;4/C8;I;s;;;[('gallery', 'NN')];['gallery']
830;jacket;Jacke;aktiv;4/C8;I;s;;;[('jacket', 'NN')];['jacket']
831;to steal;stehlen;aktiv;4/C8;I;irr;The pickpocket *is stealing* a bag.;ID1394781;[('to', 'TO'), ('steal', 'VB')];['to', 'steal']
832;purse;Portemonnaie, Geldbörse;passiv;4/C8;I;s;;;[('purse', 'NN')];['purse']
833;said;"Vergangenheitsform von ""say""";passiv;4/C8;I;irr;;;[('said', 'VBD')];['said']
834;to stop;stoppen, (an)halten, hier: aufhalten;aktiv;4/C8;I;v;;;[('to', 'TO'), ('stop', 'VB')];['to', 'stop']
835;policeman (pl policemen);Polizist;aktiv;4/C8;I;s;;;[('policeman', 'NN'), ('(', '('), ('pl', 'JJ'), ('policemen', 'NNS'), (')', ')')];['policeman', '(', 'pl', 'policeman', ')']
836;stairs (pl);Treppe;aktiv;4/C8;I;s;;ID1394780;[('stairs', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['stair', '(', 'pl', ')']
837;out of;aus;passiv;4/C8;I;ph;;;[('out', 'IN'), ('of', 'IN')];['out', 'of']
838;nervous;nervös;passiv;4/C8;I;a;;;[('nervous', 'JJ')];['nervous']
839;ran;Vergangenheitsform von run;passiv;4/C8;I;irr;;;[('ran', 'NN')];['ran']
840;stole;Vergangenheitsform von steal;passiv;4/C8;I;irr;;;[('stole', 'NN')];['stole']
841;went;Vergangenheitsform von go;passiv;4/C8;I;irr;;;[('went', 'VBD')];['went']
842;main entrance;Haupteingang;passiv;4/C8;I;s;;;[('main', 'JJ'), ('entrance', 'NN')];['main', 'entrance']
843;to stay;bleiben;aktiv;4/C8;I;v;There's no school today. We can *stay* at home.;;[('to', 'TO'), ('stay', 'VB')];['to', 'stay']
844;finally;schließlich, endlich;aktiv;4/C8;I;av;;;[('finally', 'RB')];['finally']
845;to arrive;ankommen, hier: da sein;aktiv;4/C8;I;v;;;[('to', 'TO'), ('arrive', 'VB')];['to', 'arrive']
846;on the right;rechts, auf der rechten Seite;aktiv;4/C8;I;av;Lisa is *on the left* and Tom is *on the right*.;ID1383701;[('on', 'IN'), ('the', 'DT'), ('right', 'NN')];['on', 'the', 'right']
847;on the left;links, auf der linken Seite;aktiv;4/C8;I;av;;ID1383701;[('on', 'IN'), ('the', 'DT'), ('left', 'NN')];['on', 'the', 'left']
848;right;(nach) rechts;aktiv;4/C8;I;av;*right*;ID1394785;[('right', 'NN')];['right']
849;couldn't (= could not);"Vergangenheitsform von ""can't""";aktiv;4/C8;I;ph;It was dark, so I *couldn't* see you.;;"[('could', 'MD'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('could', 'MD'), ('not', 'RB'), (')', ')')]";"['could', ""n't"", '(', '=', 'could', 'not', ')']"
850;left;(nach) links;aktiv;4/C8;I;av;*left*;ID1394785;[('left', 'NN')];['left']
851;to switch on;einschalten, anschalten;passiv;4/C8;I;ph;;;[('to', 'TO'), ('switch', 'VB'), ('on', 'IN')];['to', 'switch', 'on']
852;to turn right/left;rechts/links abbiegen;passiv;4/C8;I;ph;;;[('to', 'TO'), ('turn', 'VB'), ('right/left', 'NN')];['to', 'turn', 'right/left']
853;joke;Spaß, Streich, Witz;passiv;4/C8;I;s;;;[('joke', 'NN')];['joke']
854;to prove;beweisen;passiv;4/C8;I;v;;;[('to', 'TO'), ('prove', 'VB')];['to', 'prove']
855;pocket;Tasche (an Kleidungsstücken);aktiv;4/C8;I;s;;;[('pocket', 'NN')];['pocket']
856;bin;Mülleimer, Mülltonne;passiv;4/C8;I;s;;;[('bin', 'NN')];['bin']
857;over there;dort drüben;aktiv;4/C8;I;ph;;;[('over', 'IN'), ('there', 'EX')];['over', 'there']
858;to fall;(um)fallen, stürzen;aktiv;4/C8;I;irr;;ID1394770;[('to', 'TO'), ('fall', 'VB')];['to', 'fall']
859;fell;Vergangenheitsform von „fall“;passiv;4/C8;I;irr;;;[('fell', 'VBD')];['fell']
860;saw;Vergangenheitsform von see;passiv;4/C8;I;irr;;;[('saw', 'NN')];['saw']
861;in;in, hier: auf;aktiv;4/C10;I;pr;;;[('in', 'IN')];['in']
862;dress;Kleid;passiv;4/C10;I;s;;;[('dress', 'NN')];['dress']
863;owner;Besitzer/in, Eigentümer/in;passiv;4/C10;I;s;;;[('owner', 'NN')];['owner']
864;everything;alles;aktiv;4/C11;I;p;;;[('everything', 'NN')];['everything']
865;the police (no pl);die Polizei;aktiv;4/C11;I;s;;;[('the', 'DT'), ('police', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['the', 'police', '(', 'no', 'pl', ')']
866;to notice;bemerken, beachten;aktiv;4/C11;I;v;;;[('to', 'TO'), ('notice', 'VB')];['to', 'notice']
867;letter;Brief;aktiv;4/C13;I;s;*letter*;ID1394776;[('letter', 'NN')];['letter']
868;to get;erhalten, bekommen;passiv;4/C13;I;irr;;;[('to', 'TO'), ('get', 'VB')];['to', 'get']
869;How are you?;Wie geht es dir/Ihnen/euch?;aktiv;4/C13;I;ph;;;[('How', 'WRB'), ('are', 'VBP'), ('you', 'PRP'), ('?', '.')];['How', 'are', 'you', '?']
870;Say hi to ... for me!;Grüß mir (bitte) ...;passiv;4/C13;I;ph;;;[('Say', 'NNP'), ('hi', 'NN'), ('to', 'TO'), ('...', ':'), ('for', 'IN'), ('me', 'PRP'), ('!', '.')];['Say', 'hi', 'to', '...', 'for', 'me', '!']
871;I'm fine;Es geht mir gut.;aktiv;4/C13;I;ph;How are you? - *I'm fine*.;;"[('I', 'PRP'), (""'m"", 'VBP'), ('fine', 'JJ')]";"['I', ""'m"", 'fine']"
872;yesterday;gestern;aktiv;4/C13;I;av;Today it's Monday. *Yesterday* it was Sunday.;;[('yesterday', 'NN')];['yesterday']
873;world;Welt;aktiv;5/A;I;s;*world*;ID1395875;[('world', 'NN')];['world']
874;sound;Geräusch, Klang, Laut;aktiv;5/A1;I;s;;;[('sound', 'NN')];['sound']
875;farm;Bauernhof;aktiv;5/A1;I;s;;;[('farm', 'NN')];['farm']
876;wild;wild, hier: in freier Wildbahn lebend;aktiv;5/A1;I;a;A tiger is a *wild* animal.;;[('wild', 'NN')];['wild']
877;fish (pl fish or fishes);Fisch;aktiv;5/A1;I;s;;;[('fish', 'NN'), ('(', '('), ('pl', 'JJ'), ('fish', 'NN'), ('or', 'CC'), ('fishes', 'NNS'), (')', ')')];['fish', '(', 'pl', 'fish', 'or', 'fish', ')']
878;mouse (pl mice);Maus;aktiv;5/A1;I;s;;;[('mouse', 'NN'), ('(', '('), ('pl', 'JJ'), ('mice', 'NN'), (')', ')')];['mouse', '(', 'pl', 'mouse', ')']
879;cow;Kuh;aktiv;5/A1;I;s;;;[('cow', 'NN')];['cow']
880;pig;Schwein;aktiv;5/A1;I;s;;;[('pig', 'NN')];['pig']
881;sheep (pl sheep);Schaf;aktiv;5/A1;I;s;;;[('sheep', 'NN'), ('(', '('), ('pl', 'JJ'), ('sheep', 'NN'), (')', ')')];['sheep', '(', 'pl', 'sheep', ')']
882;chicken;Huhn;aktiv;5/A1;I;s;;;[('chicken', 'NN')];['chicken']
883;horse;Pferd;aktiv;5/A1;I;s;;;[('horse', 'NN')];['horse']
884;duck;Ente;aktiv;5/A1;I;s;;;[('duck', 'NN')];['duck']
885;lion;Löwe;aktiv;5/A1;I;s;;;[('lion', 'NN')];['lion']
886;seal;Seehund, Robbe;passiv;5/A1;I;s;;;[('seal', 'NN')];['seal']
887;fur (no pl);Fell;passiv;5/A1;I;s;;;[('fur', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['fur', '(', 'no', 'pl', ')']
888;nose;Nase;aktiv;5/A2;I;s;;;[('nose', 'RB')];['nose']
889;ear;Ohr;aktiv;5/A2;I;s;an elephant with very big *ears*;ID1330001;[('ear', 'NN')];['ear']
890;mouth;Mund;aktiv;5/A2;I;s;;;[('mouth', 'NN')];['mouth']
891;tooth (pl teeth);Zahn;aktiv;5/A2;I;s;;;[('tooth', 'NN'), ('(', '('), ('pl', 'JJ'), ('teeth', 'NNS'), (')', ')')];['tooth', '(', 'pl', 'teeth', ')']
892;feather;Feder;passiv;5/A2;I;s;;;[('feather', 'NN')];['feather']
893;wing;Flügel;passiv;5/A2;I;s;;;[('wing', 'VBG')];['wing']
894;tail;Schwanz;passiv;5/A2;I;s;;;[('tail', 'NN')];['tail']
895;head;Kopf;aktiv;5/A2;I;s;;;[('head', 'NN')];['head']
896;water (no pl);Wasser;aktiv;5/A3;I;s;;;[('water', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['water', '(', 'no', 'pl', ')']
897;poem;Gedicht;aktiv;5/A4;I;s;;;[('poem', 'NN')];['poem']
898;bird;Vogel;aktiv;5/A4;I;s;*Birds* can fly.;;[('bird', 'NN')];['bird']
899;snake;Schlange;aktiv;5/A4;I;s;;;[('snake', 'NN')];['snake']
900;hungry;hungrig;aktiv;5/A4;I;a;I'm very *hungry*. Let's buy something to eat.;;[('hungry', 'NN')];['hungry']
901;to present (sth to sb);(jdm etw) präsentieren, hier: vortragen;aktiv;5/A6;I;v;*Present* your poem to the class.;;[('to', 'TO'), ('present', 'VB'), ('(', '('), ('sth', 'NN'), ('to', 'TO'), ('sb', 'VB'), (')', ')')];['to', 'present', '(', 'sth', 'to', 'sb', ')']
902;to catch;fangen;aktiv;5/A6;I;irr;Cats *catch* mice.;ID1395872;[('to', 'TO'), ('catch', 'VB')];['to', 'catch']
903;looks (pl);Aussehen;passiv;5/A6;I;s;;;[('looks', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['look', '(', 'pl', ')']
904;to begin;anfangen, beginnen;aktiv;5/A6;I;irr;to *begin* <> to end;;[('to', 'TO'), ('begin', 'VB')];['to', 'begin']
905;home;Zuhause, Haus, Wohnung;passiv;5/A6;I;s;;;[('home', 'NN')];['home']
906;to illustrate;illustrieren;passiv;5/A6;I;v;;;[('to', 'TO'), ('illustrate', 'VB')];['to', 'illustrate']
907;to speculate (on);spekulieren, Vermutungen anstellen (über);passiv;5/B1;I;v;;;[('to', 'TO'), ('speculate', 'VB'), ('(', '('), ('on', 'IN'), (')', ')')];['to', 'speculate', '(', 'on', ')']
908;What is ... like?;Wie ist ... (denn so)?;passiv;5/B1;I;ph;;;[('What', 'WP'), ('is', 'VBZ'), ('...', ':'), ('like', 'IN'), ('?', '.')];['What', 'is', '...', 'like', '?']
909;perhaps;vielleicht;aktiv;5/B1;I;av;;;[('perhaps', 'RB')];['perhaps']
910;ice cream;Eiscreme, Eis;aktiv;5/B2;I;s;;;[('ice', 'NN'), ('cream', 'NN')];['ice', 'cream']
911;cute;süß, niedlich;passiv;5/B2;I;a;;;[('cute', 'NN')];['cute']
912;to calm down;sich beruhigen;aktiv;5/B2;I;ph;Don't get too excited. *Calm down*!;;[('to', 'TO'), ('calm', 'VB'), ('down', 'RP')];['to', 'calm', 'down']
913;to seem;scheinen;aktiv;5/B2;I;v;You *seem* hungry. Can I offer you something to eat?;;[('to', 'TO'), ('seem', 'VB')];['to', 'seem']
914;tired;müde;aktiv;5/B2;I;a;I'm very *tired*. I need to sleep.;;[('tired', 'VBN')];['tired']
915;sick;krank;aktiv;5/B2;I;a;When you are *sick*, you can call a doctor.;;[('sick', 'NN')];['sick']
916;should;sollen;aktiv;5/B2;I;v;You *should* give a dog dog food.;;[('should', 'MD')];['should']
917;shouldn't (= should not);nicht sollen;aktiv;5/B2;I;ph;You *shouldn't* give a dog ice cream.;;"[('should', 'MD'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('should', 'MD'), ('not', 'RB'), (')', ')')]";"['should', ""n't"", '(', '=', 'should', 'not', ')']"
918;near;nahe, in der Nähe;aktiv;5/B2;I;av;Don't go *near* that dog! Maybe it's *dangerous*.;;[('near', 'IN')];['near']
919;dangerous;gefährlich;aktiv;5/B2;I;a;;;[('dangerous', 'JJ')];['dangerous']
920;to smell;riechen, duften;aktiv;5/B2;I;irr;;;[('to', 'TO'), ('smell', 'VB')];['to', 'smell']
921;to lick;(ab)lecken, (ab)schlecken;passiv;5/B2;I;v;;;[('to', 'TO'), ('lick', 'VB')];['to', 'lick']
922;collar;hier: Halsband;passiv;5/B2;I;s;;;[('collar', 'NN')];['collar']
923;mustn't (= must not);nicht dürfen;aktiv;5/B2;I;ph;It's maths now. We *mustn't* talk.;;"[('must', 'MD'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('must', 'MD'), ('not', 'RB'), (')', ')')]";"['must', ""n't"", '(', '=', 'must', 'not', ')']"
924;anyway;sowieso, jedenfalls, hier: ohnehin;passiv;5/B2;I;av;;;[('anyway', 'RB')];['anyway']
925;pet shop;Tierhandlung;passiv;5/B2;I;s;;;[('pet', 'NN'), ('shop', 'NN')];['pet', 'shop']
926;to keep;behalten, aufbewahren;passiv;5/B2;I;irr;You can't *keep* the dog. Maybe his owners are *looking for* him.;;[('to', 'TO'), ('keep', 'VB')];['to', 'keep']
927;to look for;suchen nach;aktiv;5/B2;I;ph;;;[('to', 'TO'), ('look', 'VB'), ('for', 'IN')];['to', 'look', 'for']
928;to worry (about);sich Sorgen machen (um);aktiv;5/B2;I;ph;When you *worry*, you have a problem and think about it a lot.;;[('to', 'TO'), ('worry', 'VB'), ('(', '('), ('about', 'IN'), (')', ')')];['to', 'worry', '(', 'about', ')']
929;flat (BE);(Etagen)wohnung, Mietwohnung;passiv;5/B2;I;s;;;[('flat', 'JJ'), ('(', '('), ('BE', 'NNP'), (')', ')')];['flat', '(', 'BE', ')']
930;worried;beunruhigt, besorgt;aktiv;5/B3;I;a;The dog seems sick. I'm very *worried*.;;[('worried', 'JJ')];['worried']
931;that;dass;passiv;5/B3;I;k;;;[('that', 'IN')];['that']
932;to imagine;sich vorstellen;passiv;5/B3;I;v;;;[('to', 'TO'), ('imagine', 'VB')];['to', 'imagine']
933;to take;(mit)nehmen, hier: bringen;aktiv;5/B3;I;irr;;;[('to', 'TO'), ('take', 'VB')];['to', 'take']
934;lead;Leine;passiv;5/B5;I;s;;;[('lead', 'NN')];['lead']
935;interest;Interesse;aktiv;5/B5;I;s;Jo and Alex like dancing and reading. They have the same *interests*.;;[('interest', 'NN')];['interest']
936;to forget;vergessen;aktiv;5/B5;I;irr;;;[('to', 'TO'), ('forget', 'VB')];['to', 'forget']
937;address;Adresse, Anschrift;aktiv;5/B5;I;s;;;[('address', 'NN')];['address']
938;vet;Tierarzt/Tierärztin;passiv;5/B5;I;s;;;[('vet', 'NN')];['vet']
939;to leave;verlassen, weggehen, hier: zurücklassen;aktiv;5/B5;I;irr;Don't *leave* your dog in the car when it's hot.;;[('to', 'TO'), ('leave', 'VB')];['to', 'leave']
940;hot;heiß;aktiv;5/B5;I;a;;;[('hot', 'JJ')];['hot']
941;to go on holiday;in Urlaub gehen/fahren;aktiv;5/B5;I;ph;When I *go on holiday*, I leave my dog with a friend.;;[('to', 'TO'), ('go', 'VB'), ('on', 'IN'), ('holiday', 'NN')];['to', 'go', 'on', 'holiday']
942;holiday;Urlaub, Ferien;aktiv;5/B5;I;s;;;[('holiday', 'NN')];['holiday']
943;in the street;auf der Straße;passiv;5/B5;I;pr;;;[('in', 'IN'), ('the', 'DT'), ('street', 'NN')];['in', 'the', 'street']
944;enough;genügend, ausreichend, genug;aktiv;5/B6;I;a;Has your hamster got *enough* water? - Yes, it has.;;[('enough', 'RB')];['enough']
945;to discuss;besprechen, diskutieren;aktiv;5/B6;I;v;;;[('to', 'TO'), ('discuss', 'VB')];['to', 'discus']
946;statement;Äußerung, Aussage;passiv;5/B7;I;s;;;[('statement', 'NN')];['statement']
947;to be lucky;Glück haben;aktiv;5/B7;I;ph;I found £ 10 yesterday. - You'*re lucky*!;;[('to', 'TO'), ('be', 'VB'), ('lucky', 'JJ')];['to', 'be', 'lucky']
948;lucky;"glücklich (Glück habend; Glück bringend)";aktiv;5/B7;I;a;;;[('lucky', 'JJ')];['lucky']
949;difficult;schwierig, schwer;aktiv;5/B7;I;a;*difficult* <> easy;;[('difficult', 'JJ')];['difficult']
950;disappointed;enttäuscht;aktiv;5/B8;I;a;My parents say I can't have a dog. I'm very *disappointed*.;;[('disappointed', 'JJ')];['disappointed']
951;safe;sicher;aktiv;5/B8;I;a;In the dark I don't feel *safe*.;;[('safe', 'JJ')];['safe']
952;scared;verängstigt;aktiv;5/B8;I;a;When I hear strange noises at night I'm *scared*.;;[('scared', 'VBN')];['scared']
953;surprised;überrascht, erstaunt;aktiv;5/B8;I;a;She looks *surprised*.;ID1395874;[('surprised', 'JJ')];['surprised']
954;pleased;froh, zufrieden;aktiv;5/B8;I;a;;;[('pleased', 'JJ')];['pleased']
955;shocked;schockiert, entsetzt;aktiv;5/B9;I;a;Tom shouted at his teacher. The other pupils were *shocked*.;;[('shocked', 'VBN')];['shocked']
956;to be wrong;nicht stimmen, hier: sich irren;aktiv;5/B9;I;ph;Charlie is nine. - You'*re wrong*.;;[('to', 'TO'), ('be', 'VB'), ('wrong', 'JJ')];['to', 'be', 'wrong']
957;second;Sekunde;passiv;5/B9;I;s;;;[('second', 'JJ')];['second']
958;possible;möglich;aktiv;5/B9;I;a;I'm afraid we can't have a dog. It's not *possible*.;;[('possible', 'JJ')];['possible']
959;I'd love to have;ich hätte gerne;passiv;5/B9;I;ph;;;"[('I', 'PRP'), (""'d"", 'MD'), ('love', 'VB'), ('to', 'TO'), ('have', 'VB')]";"['I', ""'d"", 'love', 'to', 'have']"
960;to give sth a go;etw versuchen;passiv;5/B9;I;ph;to give sth a go = to try;;[('to', 'TO'), ('give', 'VB'), ('sth', 'VB'), ('a', 'DT'), ('go', 'NN')];['to', 'give', 'sth', 'a', 'go']
961;the other one;der/die andere;aktiv;5/B10;I;ph;I don't mean the black cat, I mean *the other one*.;;[('the', 'DT'), ('other', 'JJ'), ('one', 'NN')];['the', 'other', 'one']
962;to understand;verstehen;aktiv;5/B10;I;irr;I don't *understand* the word 'scary'. What does it mean?;;[('to', 'TO'), ('understand', 'VB')];['to', 'understand']
963;animal shelter;Tierheim;passiv;5/B10;I;s;;;[('animal', 'JJ'), ('shelter', 'NN')];['animal', 'shelter']
964;real;wirklich, echt;aktiv;5/B10;I;a;Ghosts are not *real*.;;[('real', 'JJ')];['real']
965;to explain (sth to sb);(jdm etw) erklären;aktiv;5/B10;I;ph;I don't understand. Can you *explain* it *to me*?;;[('to', 'TO'), ('explain', 'VB'), ('(', '('), ('sth', 'NN'), ('to', 'TO'), ('sb', 'VB'), (')', ')')];['to', 'explain', '(', 'sth', 'to', 'sb', ')']
966;to practise;üben;aktiv;5/B10;I;v;You should *practise* your poem. Then you can present it.;;[('to', 'TO'), ('practise', 'VB')];['to', 'practise']
967;chameleon;Chamäleon;passiv;5/C2;I;s;;;[('chameleon', 'NN')];['chameleon']
968;little;klein(e, er, es);aktiv;5/C2;I;a;My *little* sister is seven.;;[('little', 'JJ')];['little']
969;dinosaur;Dinosaurier;passiv;5/C2;I;s;;;[('dinosaur', 'NN')];['dinosaur']
970;everywhere;überall;aktiv;5/C2;I;av;In Caroline's room, there are elephants *everywhere*.;;[('everywhere', 'RB')];['everywhere']
971;much;viel;aktiv;5/C2;I;a;;;[('much', 'JJ')];['much']
972;to feed;(zu) essen geben, füttern;aktiv;5/C2;I;irr;;;[('to', 'TO'), ('feed', 'VB')];['to', 'feed']
973;fed;Vergangenheitsform von feed;passiv;5/C2;I;irr;;;[('fed', 'NN')];['fed']
974;ill;krank;aktiv;5/C2;I;a;;;[('ill', 'NN')];['ill']
975;didn't (= did not);"Vergangenheitsform von ""don't/doesn't""";aktiv;5/C2;I;ph;;;"[('did', 'VBD'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('did', 'VBD'), ('not', 'RB'), (')', ')')]";"['did', ""n't"", '(', '=', 'did', 'not', ')']"
976;to look after;sich kümmern um;aktiv;5/C2;I;v;I can't come to the party. I have to *look after* my little brother.;;[('to', 'TO'), ('look', 'VB'), ('after', 'IN')];['to', 'look', 'after']
977;to wiggle (out);(nach draußen) schlängeln;passiv;5/C2;I;ph;;;[('to', 'TO'), ('wiggle', 'VB'), ('(', '('), ('out', 'RP'), (')', ')')];['to', 'wiggle', '(', 'out', ')']
978;garden;Garten;aktiv;5/C2;I;s;;;[('garden', 'NN')];['garden']
979;to get away;fortkommen, flüchten;aktiv;5/C2;I;irr;The pickpockets *got away*.;;[('to', 'TO'), ('get', 'VB'), ('away', 'RP')];['to', 'get', 'away']
980;What a pity;Wie schade!;passiv;5/C2;I;ph;;;[('What', 'WP'), ('a', 'DT'), ('pity', 'NN')];['What', 'a', 'pity']
981;to take away;wegnehmen, mitnehmen;passiv;5/C2;I;irr;;;[('to', 'TO'), ('take', 'VB'), ('away', 'RP')];['to', 'take', 'away']
982;to drive;fahren;aktiv;5/C2;I;irr;Can you *drive* a car? - No, I'm too young.;;[('to', 'TO'), ('drive', 'VB')];['to', 'drive']
983;drove;Vergangenheitsform von drive;passiv;5/C2;I;irr;;;[('drove', 'NN')];['drove']
984;to miaow;miauen;passiv;5/C2;I;v;;;[('to', 'TO'), ('miaow', 'VB')];['to', 'miaow']
985;had;Vergangenheitsform von have;passiv;5/C2;I;irr;;;[('had', 'VBD')];['had']
986;to walk;zu Fuß gehen, hier: laufen;aktiv;5/C2;I;v;;;[('to', 'TO'), ('walk', 'VB')];['to', 'walk']
987;not ... anymore;nicht mehr;passiv;5/C2;I;ph;;;[('not', 'RB'), ('...', ':'), ('anymore', 'RB')];['not', '...', 'anymore']
988;to take ... for a walk;... spazieren führen, hier: Gassi gehen mit ...;aktiv;5/C2;I;ph;He *takes* the dog *for a walk* every Tuesday.;;[('to', 'TO'), ('take', 'VB'), ('...', ':'), ('for', 'IN'), ('a', 'DT'), ('walk', 'NN')];['to', 'take', '...', 'for', 'a', 'walk']
989;sad;traurig;aktiv;5/C2;I;a;*sad* <> happy;;[('sad', 'NN')];['sad']
990;What happened?;Was geschah?;passiv;5/C4;I;ph;;;[('What', 'WP'), ('happened', 'VBD'), ('?', '.')];['What', 'happened', '?']
991;(it) makes me feel ...;(es) macht mich ...;passiv;5/C4;I;ph;It makes me sad.;;[('(', '('), ('it', 'PRP'), (')', ')'), ('makes', 'VBZ'), ('me', 'PRP'), ('feel', 'VB'), ('...', ':')];['(', 'it', ')', 'make', 'me', 'feel', '...']
992;unhappy;unglücklich;aktiv;5/C4;I;a;;;[('unhappy', 'JJ')];['unhappy']
993;upset;aufgeregt, aufgebracht, bestürzt;aktiv;5/C4;I;a;Her hamster is very ill. She's very *upset*.;;[('upset', 'NN')];['upset']
994;news (pl);Neuigkeit, Nachricht;passiv;5/C6;I;s;;;[('news', 'NN'), ('(', '('), ('pl', 'NN'), (')', ')')];['news', '(', 'pl', ')']
995;friendly;freundlich;aktiv;5/C6;I;a;That's Mr Coleman. He's very *friendly*.;ID1395873;[('friendly', 'RB')];['friendly']
996;How many ...?;Wie viele ...?;aktiv;5/C6;I;ph;*How many* apples do we need?;;[('How', 'WRB'), ('many', 'JJ'), ('...', ':'), ('?', '.')];['How', 'many', '...', '?']
997;how many;wie viele;aktiv;5/C6;I;ph;;;[('how', 'WRB'), ('many', 'JJ')];['how', 'many']
998;to get back;zurückkommen;aktiv;5/C6;I;irr;;;[('to', 'TO'), ('get', 'VB'), ('back', 'RB')];['to', 'get', 'back']
999;these (= pl of this);diese;aktiv;5/C6;I;d;;ID4107006;[('these', 'DT'), ('(', '('), ('=', 'JJ'), ('pl', 'NN'), ('of', 'IN'), ('this', 'DT'), (')', ')')];['these', '(', '=', 'pl', 'of', 'this', ')']
1000;care;Betreuung, Aufsicht, Pflege;passiv;5/C6;I;s;;;[('care', 'NN')];['care']
1001;not even;noch nicht einmal;passiv;5/C6;I;ph;;;[('not', 'RB'), ('even', 'RB')];['not', 'even']
1002;how much;wie viel;aktiv;5/C6;I;ph;;;[('how', 'WRB'), ('much', 'JJ')];['how', 'much']
1003;How much …?;Wie viel …?;aktiv;5/C6;I;ph;*How much* flour do we need?;;[('How', 'WRB'), ('much', 'JJ'), ('…', 'NN'), ('?', '.')];['How', 'much', '…', '?']
1004;those (= pl of that);diese;aktiv;5/C6;I;d;;ID4107006;[('those', 'DT'), ('(', '('), ('=', 'JJ'), ('pl', 'NN'), ('of', 'IN'), ('that', 'DT'), (')', ')')];['those', '(', '=', 'pl', 'of', 'that', ')']
1005;guinea pig;Meerschweinchen;passiv;5/C6;I;s;;;[('guinea', 'NN'), ('pig', 'NN')];['guinea', 'pig']
1006;Christmas;Weihnachten;passiv;5/C6;I;s;;;[('Christmas', 'NN')];['Christmas']
1007;What's wrong with ...?;Was stimmt nicht mit ...?, Was fehlt ...?;aktiv;5/C6;I;ph;He seems ill. *What's wrong with* him?;;"[('What', 'WP'), (""'s"", 'VBZ'), ('wrong', 'JJ'), ('with', 'IN'), ('...', ':'), ('?', '.')]";"['What', ""'s"", 'wrong', 'with', '...', '?']"
1008;bad;schlecht, hier: schlimm;aktiv;5/C6;I;a;;;[('bad', 'JJ')];['bad']
1009;to get used to;sich gewöhnen an;aktiv;5/C6;I;ph;I can't *get used to* my new mobile phone.;;[('to', 'TO'), ('get', 'VB'), ('used', 'VBN'), ('to', 'TO')];['to', 'get', 'used', 'to']
1010;so;also;passiv;5/C6;I;i;;;[('so', 'RB')];['so']
1011;helper;Helfer/in;passiv;5/C6;I;s;;;[('helper', 'NN')];['helper']
1012;for;für, hier: zum;passiv;5/C9;I;pr;;;[('for', 'IN')];['for']
1013;toy;Spielzeug(-);passiv;5/C11;I;s/a;Caroline has got a lot of toy elephants.;;[('toy', 'NN')];['toy']
1014;to present (sth to sb);(jdm etw) präsentieren;passiv;5/C11;I;v;;;[('to', 'TO'), ('present', 'VB'), ('(', '('), ('sth', 'NN'), ('to', 'TO'), ('sb', 'VB'), (')', ')')];['to', 'present', '(', 'sth', 'to', 'sb', ')']
1015;to decide;entscheiden, bestimmen;aktiv;5/C11;I;v;His parents *decided* to find a new school for him.;;[('to', 'TO'), ('decide', 'VB')];['to', 'decide']
1016;Britain;Großbritannien;aktiv;6/A;I;s;*Great Britain* = England, Wales, Scotland;;[('Britain', 'NNP')];['Britain']
1017;wish;Wunsch;passiv;6/A1;I;s;;;[('wish', 'NN')];['wish']
1018;brochure;Broschüre, Katalog;aktiv;6/A1;I;s;;;[('brochure', 'NN')];['brochure']
1019;isle;Insel, Eiland;passiv;6/A1;I;s;;;[('isle', 'NN')];['isle']
1020;sea (no pl);Meer, (die) See;aktiv;6/A1;I;s;Fish live in the *sea*.;;[('sea', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['sea', '(', 'no', 'pl', ')']
1021;beach;Strand;aktiv;6/A1;I;s;;;[('beach', 'NN')];['beach']
1022;mountain;Berg;aktiv;6/A1;I;s;;ID1394769;[('mountain', 'NN')];['mountain']
1023;Scotland;Schottland;aktiv;6/A1;I;s;;;[('Scotland', 'NN')];['Scotland']
